vendor_id,vendor_name,owner,address,postal_code,group,city,belgian_number,country,email,bank_country,currency,vat_number,iban,bic,bank_account_number,bank_code,company_entities,bank_name,payment_terms,description,norwegian_bankgiro_number
B84904127,Petit Palace Madrid Chueca,,C/ Los Robles 19,28232,Suppliers,Sevilla,,Spain,,Spain,EUR,J85267144,ES1300815200190001479350,BSCHESMM,,,ES,Genesis National Bank,,,
B85226488,CÍRCULO BELLAS ARTES MADRID,,"Calle del Sol, 19, Bajo",28008,Suppliers,Madrid,,Spain,,Spain,EUR,B85226488,ES7201824609950205685374,BSABESBB,,,ES,Apex Community Bank,,,
B85226488,CÍRCULO BELLAS ARTES MADRID,,"Calle Magenta, 10",28008,Suppliers,Madrid,,Spain,,Spain,EUR,B85226488,ES7201824609950205685374,BSABESBB,,,ES,Blue Ridge Bank,,,
B85837078,2b-Tube Studios Media SL,,"Calle Ramón y Cajal, 7",28033,Suppliers,San Sebastián,,Spain,,Spain,EUR,B85837078,ES6530350175881750733950,CAIXESBB,,,ES,Summit Financial Trust,,,
B85837078,RODILLA SÁNCHEZ GROUP S.L.,,"Calle Ramón y Cajal, 7",28033,Suppliers,Alicante,,Spain,,Spain,EUR,B85837078,ES6621000921801300685858,CAIXESBB,,,ES,Colonial Reserve Bank,,,
B86590841,La Pescadería de Ballesta S.L.,,"Avenida César Vallejo, 25",28003,Suppliers,Badajoz,,Spain,,Spain,EUR,B86590841,ES6901822342180010053641,BSCHESMM,,,ES,Coastal National Bank,,,
B86590841,La Pescadería de Ballesta S.L.,,"Avenida César Vallejo, 25",28003,Suppliers,Badajoz,,Spain,,Spain,EUR,B86590841,ES6901822342180010053641,BSCHESMM,,,ES,Paramount Reserve Bank,,,
B86653284,THE ETER GROUP S.L.,,"C/ Fuster, 11-12",28004,Suppliers,San Sebastián,,Spain,,Spain,EUR,B86653284,ES6301821045200208518130,CAIXESBB,,,ES,Grand Savings,,,
B86653284,THE ETER GROUP S.L.,,"Avda. del Sol, 42",28004,Suppliers,San Sebastián,,Spain,,Spain,EUR,B86653284,ES6301821045200208518130,CAIXESBB,,,ES,Grand Savings,,,
B86654035,ONEDIRECT TELECOM S.L.,,"Calle Mayor, 3",28232,Suppliers,Las Rozas de Madrid,,Spain,,Spain,EUR,B86654035,ES8801286010130101099955,CAIXESBB,,,ES,Mariner Financial,,,
B86654035,Pool de Creaciones Publicitarias U.S.,,"Calle Mayor, 3",28232,Suppliers,Las Rozas de Madrid,,Spain,,Spain,EUR,B86654035,ES8321003400631300242432,CAIXESBB,,,ES,Mariner Financial,,,
B87100004,RIGEL MEDIA SOLUTIONS S.L.,,"C/Sancho Panza, 19-21, Ático 1",28028,Suppliers,La Coruña,,Spain,,Spain,EUR,B87100004,ES6000491555112010236310,BBVAESMM,,,ES,Southern Trust Bank,,,
B87100004,Veracontent Group,,"C/ Sierra, 33",28028,Suppliers,Madrid,,Spain,,Spain,EUR,B87100004,ES5900491806902211869812,BBVAESMM,,,ES,Southern Trust Bank,,,
B87310322,MONDAY BY URBANIA 8 MEDIA S.L.,,"Velázquez, 64-66, 7ª",28760,Suppliers,Madrid,,Spain,,Spain,EUR,B87310322,ES8820801217513040008065,BBVAESMM,,,ES,Victory Bank Corporation,,,
B87310322,ONEDIRECT TELECOM S.L.,,"Velázquez, 64-66, 7ª",28760,Suppliers,Madrid,,Spain,,Spain,EUR,B87310322,ES8801286010130101099955,BBVAESMM,,,ES,Victory Bank Corporation,,,
B87651949,INNERIA CENTER SLU,,"C/ Gladiola 4, 1º",28002,Suppliers,Valencia,,Spain,,Spain,EUR,B47258015,ES4801280076170100063138,CAIXESBB,,,ES,Epic Financial Group,,,
B87651949,MALVÓN STAR PRODUCTIONS SL,,"C/ Gladiola 4, 1º",28002,Suppliers,Murcia,,Spain,,Spain,EUR,S83634720B,ES5000491820682810564537,CAIXESBB,,,ES,Epic Financial Group,,,
B87685277,FUNDACIÓN UNIVERSITARIA UC3,,"C/ Mandarín, 10",28001,Suppliers,Valencia,,Spain,,Spain,EUR,A64273612B,ES4201280360620100061294,INGDESMM,,,ES,Evergreen Federal Bank,,,
B87685277,CREADORES DIGITALES NETWORK SL,,"Príncipe de Alcalá, 13, 3º A",28001,Suppliers,Vigo,,Spain,,Spain,EUR,R67829481V,ES3900496138312710010841,INGDESMM,,,ES,Evergreen Federal Bank,,,
B88044938,BINFLUENCER MEDIA,,"Calle del Rey, Nº 15, Local 3",28043,Suppliers,Valladolid,,Spain,,Spain,EUR,K74685239B,ES5600493694162414015459,BBVAESMM,,,ES,Union Reserve Bank,,,
B88044938,BINFLUENCER MEDIA,,"Calle Jacometrezo, 15, 3D",28043,Suppliers,Valladolid,,Spain,,Spain,EUR,K74685239B,ES5600493694162414015459,BBVAESMM,,,ES,Atlas Credit Union,,,
B88292189,OLYMPIA MARKETING AGENCY,,"Calle Buenos Aires, 29",28010,Suppliers,Madrid,,Spain,,Spain,EUR,B88292189,ES5701824041100202695592,BBVAESMM,,,ES,Skyline Trust Bank,,,
B88292189,MOMENTOS DE BUEN CAFE S.L.,,"Calle Buenos Aires, 29",28010,Suppliers,Vigo,,Spain,,Spain,EUR,B88292189,ES5800811389730001275437,BBVAESMM,,,ES,Skyline Trust Bank,,,
B88631593,BOVE MONTERO & ASOCIADOS,,"C/ Aragonés, 29",28001,Suppliers,Gijón,,Spain,,Spain,EUR,B88631593,ES7521008849182200035622,CAIXESBB,,,ES,Colonial Reserve Bank,,,
B88631593,ECOEMBALAJES ESPAÑA S.A.,,"Avda. Juan XXIII, Nº 10, 7D",28001,Suppliers,Madrid,,Spain,,Spain,EUR,B88631593,ES7621005986350200049949,CAIXESBB,,,ES,True North Bank,,,
B92192665,Timeout Spain Media S.A.,,"C/ Darwin, S/N",29590,Suppliers,Santiago,,Spain,,Spain,EUR,T41073927,ES1200301542500000821272,BSCHESMM,,,ES,Mariner Financial,,,
B92192665,"4 IN PRODUCTIONS, S.L.",,"Mare de Deu del Pilar, 67-71",29590,Suppliers,Santiago,,Spain,,Spain,EUR,T41073927,ES1200751296590606651116,BSCHESMM,,,ES,Mariner Financial,,,
BE0447827522,Branding Wellness Infrastructure,Mia King,Hogesch Boulevard 71,8087,Suppliers,Zurich,3280691745.0,Belgium,contact@music.ch,,CHF,DjBVFFWkVTyh,BE0962768191,CRESCHZZ80A,,,BE,,,,
BE0447827522,Food Banking Online,Audrey Barnes,Provincie Laan 91,7260,Suppliers,Davos Dorf,3240759183.0,Belgium,kontakt@cloud.fm,,CHF,BE-463.478.559,BE6927160798,CRESCHZZ80A,,,BE,,,,
BE0447827523,Architectural Sports Fashion,Grace Ward,Brouwerij Steeg 51,D-10119,Suppliers,Berlin,3235784612.0,Belgium,info@sport-labs.de,,CHF,lthjbuu,BE9176602086,SOLADEST600,,,BE,,,,
BE0447827523,Accounting Wholesale Media,Jack Mitchell,Cultuur Park 37,8032,Suppliers,Zürich,3264805179.0,Switzerland,info@homeinsugate.ch,,CHF,BE-194.154.634 MWST,BE0962768917,RAIFCH22XXX,,,BE,,,,
BE0447827523,Legal Retail Entertainment,Ruby Butler,Kunstenaars Pleintje 82,8050,Suppliers,Zurich,3219730546.0,Belgium,info@homeinsugate.ch,,CHF,BE-806.625.857,BE9176602086,RAIFCH22XXX,,,BE,,,,
