Vendor ID,Vendor name,Owner,Address,ZIP/postcode,Group,City,Number,Country,Email,Bank country,Currency,VAT Code,IBAN,BIC,Bank Account Number,Bank Code,Company entities
BE0447827521,Logistics Technology Culture,Chloe Jenkins,Dorp Laan 12a,6002,Suppliers,Luzern,3256473829,Belgium,info@la-furniture.ch,,CHF,LSoBTIHBenlflf,BE0962768191,BLKBCH22,,,BE
BE0544411213,Fulfillment Software Creative,Alexander Reed,Sihl Kade 253,8022,Suppliers,Zürich,3283947561,Belgium,info@la-furniture.ch,,CHF,cdewpuzmp,BE6927160798,POFICHBEXXX,,,BE
BE0867686774,Procurement Hardware Publishing,Zoe James,Bahnhof Steenweg 10,1014,Suppliers,Lausanne,3267893245,Belgium,info@la-furniture.ch,,CHF,FoCAhtBNwN,BE9176602086,POFICHBEXXX,,,BE
BE0737903348,Sourcing Electronics Music,Daniel Wood,Gerold Straat 11c,AT-6433,Suppliers,Oetz,3271569804,Belgium,info@la-furniture.ch,,EUR,BEL-443.536.623,BE0962768917,SPIMAT21XXX,,,BE
BE0722977622,Trading Robotics Film,Harper Simmons,Breitenste Laan 14,8953,Suppliers,Dietikon,3285436721,Belgium,info@la-furniture.ch,,CHF,BE-992.439.995 MWST,BE6927160798,SPIMAT21XXX,,,BE
FR09908311104,Commerce Pharma TV,Matthew Ross,Dufour Baan 38,1092,Suppliers,Belmont-sur-Lausanne,3234876592,Belgium,info@la-furniture.ch,,CHF,mvwbttxfjt,BE9176602086,SPIMAT21XXX,,,BE
ATU19208702,Retail Biotech Events,Grace Lee,Postfach Uetlibeg Laan 65,8156,Suppliers,oberhasli,3249567823,Belgium,info@la-furniture.ch,,CHF,qbojnvqg,BE0962768191,RAIFCH22E75,,,BE
BE0252828917,Wholesale Mobility Experiences,Oliver Powell,Mühleha Dreef 36,AT-6175,Suppliers,Kematen in Tirol,3254981760,Belgium,info@la-furniture.ch,,EUR,BE-322.598.637,BE6927160798,BTVAAT22,,,BE
778324041,eCommerce Travel Concierge,Amelia Carter,Herb Onderneming,8005,Suppliers,Zürich,3281239456,Belgium,info@la-furniture.ch,,CHF,BEL-891.544.498,BE9176602086,KBBECH22XXX,,,BE
BE0672863760,Online Tourism Lifestyle,Jack Morgan,Av de la Gare 46b,8700,Suppliers,Küsnacht,3265819043,Belgium,info@la-furniture.ch,,CHF,CHE-189.558.854,BE0962768917,KBBECH22XXX,,,BE
BE0244142665,Digital Hospitality Enterprises,Ella Campbell,Russe Weg 15,8005,Suppliers,Zürich,3280765439,Belgium,info@la-furniture.ch,,CHF,BE-363.673.626 MWST,BE6927160798,KBAGCH22,,,BE
BE 0842156474,Cloud Leisure Wellness,William Evans,Rosemberg Straat 36,8037,Suppliers,Zürich,3219476058,Belgium,kontakt@cloud.fm,,CHF,BEL-942.814.209,BE9176602086,ZKBKCHZZ80A,,,BE
BE0479561665,Tech Entertainment Logistics,Scarlett Parker,Marktplein Straat 62,8702,Suppliers,Zollikon,3243872561,Belgium,kontakt@cloud.fm,,CHF,cwryx,BE0962768191,CRESCHZZ80A,,,BE
BE0568578169,Enviro Media Depot,Michael Nelson,Hertogenboulevard 11,8031,Suppliers,Zürich,3256028397,Belgium,kontakt@cloud.fm,,CHF,BE-546.314.842,BE6927160798,CRESCHZZ80A,,,BE
BE 0860109392,Green Communications Fulfillment,Victoria Adams,Noordgemeenteblvd 79,8045,Suppliers,Zürich,3278461932,Belgium,kontakt@cloud.fm,,CHF,BE-103.839.498,BE9176602086,ZKBKCHZZ80A,,,BE
BE0410958218,Eco Advertising Procurement,Henry Gray,Bos Laanweg 31,8953,Suppliers,Dietikon,3227053849,Belgium,kontakt@cloud.fm,,CHF,BE-240.611.195 MWST,BE0962768917,UBSWCHZH80A,,,BE
BE0642737738,Bio Marketing Sourcing,Stella Allen,Molenbeek Tuinlaan 4,8008,Suppliers,Zürich,3286457310,Belgium,kontakt@cloud.fm,,CHF,BEL-833.189.305,BE6927160798,UBSWCHZH80A,,,BE
BE0860109392,Organic Branding Trading,Samuel Roberts,Zand Straat 27,1920,Suppliers,Martigny,3267902548,Belgium,kontakt@cloud.fm,,CHF,GzZbKF,BE9176602086,UBSWCHZH80A,,,BE
BE0728655685,Natural Consulting Commerce,Lucy Carter,Bergkerkstraat 86,8008,Suppliers,Zürich,3234596782,Belgium,kontakt@cloud.fm,,CHF,BE-867.473.150,BE0962768191,UBSWCHZH80A,,,BE
BE0672871084,Wellness Advisory Retail,Christopher Hughes,Keizersdreef 8,CH-9000,Suppliers,St.Gallen,3251946783,Belgium,kontakt@cloud.fm,,CHF,BE-670.424.687 MWST,BE6927160798,CRESCHZZ80A,,,BE
BE0746581186,Health Management Wholesale,Nora Phillips,Gravinnesteeg 43,8045,Suppliers,Zurich,3285094732,Belgium,kontakt@cloud.fm,,CHF,BE-683.833.485,BE9176602086,CRESCHZZ80A,,,BE
BE0888020351,Nutrition Finance eCommerce,Isaac Brooks,Burgemee Straat 57,4535,Suppliers,Hubersdorf,3216839574,Belgium,kontakt@cloud.fm,,CHF,BE-371.929.173,BE0962768917,CRESCHZZ80A,,,BE
BE0447827522,Food Banking Online,Audrey Barnes,Provincie Laan 91,7260,Suppliers,Davos Dorf,3240759183,Belgium,kontakt@cloud.fm,,CHF,BE-463.478.559,BE6927160798,CRESCHZZ80A,,,BE
BE0544411214,Beverage Insurance Digital,Elijah Hall,Bosringlaan 15,4133,Suppliers,Pratteln,3275914638,Belgium,kontakt@cloud.fm,,CHF,BE-733.503.129 MWST,BE9176602086,CRESCHZZ80A,,,BE
BE0867686775,Cuisine Legal Cloud,Eva Flores,Meermarspad 7,8800,Suppliers,Roeselare,3282047569,Belgium,kontakt@cloud.fm,,EUR,yvnobzvcc,BE0962768191,INGBBRUBEBB,,,BE
BE0737903349,Kitchen Accounting Tech,Anthony Scott,Beekplein 69,9000,Suppliers,St. Gallen,3256478910,Belgium,kontakt@cloud.fm,,CHF,BE-661.363.777 MWST,BE6927160798,INGBBRUBEBB,,,BE
BE0722977623,Garden Taxation Enviro,Ivy King,Duinwater Baan 83,3902,Suppliers,Brig-Glis,3227381906,Belgium,kontakt@cloud.fm,,CHF,lucjiywn,BE9176602086,INGBBRUBEBB,,,BE
FR09908311105,Home Education Green,Nathan Bell,Kerk Heuvel 34,CH-8802,Suppliers,Kilchberg ZH,3284657912,Belgium,kontakt@cloud.fm,,CHF,BEL-550.620.359,BE0962768917,INGBBRUBEBB,,,BE
ATU19208703,Lifestyle Training Eco,Ruby Murphy,Berg Weg 22,4056,Suppliers,Basel,3219476053,Belgium,kontakt@cloud.fm,,CHF,NgpMv,BE6927160798,POFICHBEX,,,BE
BE0252828918,Design Development Bio,Lucas Morris,Val Dreefje 91,CH-300,Suppliers,Bern 65,3248039471,Belgium,kontakt@cloud.fm,,CHF,BEL-708.127.315,BE9176602086,POFICHBEX,,,BE
778324042,Decor Research Organic,Anna Ward,Laan Dreef 17,CH-8031,Suppliers,Zürich,3274562183,Belgium,kontakt@cloud.fm,,CHF,BE-154.900.464 MWST,BE0962768191,ZKBKCHZZ,,,BE
BE0672863761,Fashion Innovation Natural,Ryan Clark,Bosweg 25,8001,Suppliers,Zürich,3269805431,Belgium,kontakt@cloud.fm,,CHF,ILGcbYNqwbiLJ,BE6927160798,ZKBKCHZZ08A,,,BE
BE0244142666,Beauty Technology Wellness,Sofia Foster,Molendreef 8,3003,Suppliers,Bern,3283705914,Belgium,kontakt@cloud.fm,,CHF,BE-323.969.997,BE9176602086,ZKBKCHZZ08A,,,BE
BE 0842156475,Apparel Software Health,Thomas Green,Hout Baan 63,8005,Suppliers,Zürich,3226098473,Belgium,kontakt@cloud.fm,,CHF,fhsocedrw,BE0962768917,KBBECH22XXX,,,BE
BE0479561666,Accessories Hardware Nutrition,Amelia Harris,Akker Steegje 41,CH-6440,Suppliers,Brunnen,3249537820,Belgium,kontakt@cloud.fm,,CHF,BE-280.175.752 MWST,BE6927160798,KBBECH22XXX,,,BE
BE0568578170,Jewelry Electronics Food,Daniel Young,Haven Laan 5,8010,Suppliers,zurich,3257164892,Belgium,kontakt@cloud.fm,,CHF,BE-475.931.718 MWST,BE9176602086,KBBECH22XXX,,,BE
BE 0860109393,Watches Optics Beverage,Caroline Cook,Park Straat 90,4142,Suppliers,Münchenstein,3273409581,Belgium,kontakt@cloud.fm,,CHF,BE-133.701.528 MWST,BE0962768191,UBSWCHZH80A,,,BE
BE0410958219,Footwear Robotics Cuisine,Andrew Bennett,Tuin Baan 38,CH-8005,Suppliers,Zürich,3286473902,Belgium,kontakt@cloud.fm,,CHF,CHE-335.160.602,BE6927160798,CRESCHZZ80A,,,BE
BE0642737739,Leather Aerospace Kitchen,Natalie Parker,Kerkhofweg 72,6318037,Suppliers,Zurich,3216054789,Belgium,kontakt@cloud.fm,,CHF,pacmezqh,BE9176602086,ZKBKCHZZ80A,,,BE
BE0860109393,Textile Biotech Garden,Isaac Rivera,Kerk Plaatsje 59,6318037,Suppliers,Zurich,3240925876,Belgium,kontakt@cloud.fm,,CHF,BE-623.335.186,BE0962768917,RAIFCH22706,,,BE
BE0728655686,Furniture Pharmaceutical Home,Lily White,Dom Squ 17,20354,Suppliers,Hamburg,3275489103,Belgium,kontakt@cloud.fm,,EUR,CHE-474.326.808,BE6927160798,HYVEDEMM300,,,BE
BE0672871085,Interiors Medical Lifestyle,David Gray,Kasteel Pleintje 24,CH-4052,Suppliers,Basel,3257836419,Belgium,kontakt@cloud.fm,,CHF,BE-401.644.266,BE9176602086,CRESCHZZ80A,,,BE
BE0746581187,Construction Wellness Design,Anna Bryant,Markt Weg 68,10415,Suppliers,Põhja-Tallinna linnaosa Tallin,3282149705,Belgium,kontakt@cloud.fm,,EUR,BE-293.219.336 MWST,BE0962768191,LHVBEE22,,,BE
BE0888020352,Engineering Healthcare Decor,Jack Thompson,Klooster Straat 36,8031,Suppliers,Zurich,3264918703,Belgium,kontakt@cloud.fm,,CHF,BEL-551.641.321,BE6927160798,LHVBEE22,,,BE
BE0447827523,Architectural Sports Fashion,Grace Ward,Brouwerij Steeg 51,D-10119,Suppliers,Berlin,3235784612,Belgium,info@sport-labs.de,,CHF,lthjbuu,BE9176602086,SOLADEST600,,,BE
BE0544411215,Energy Fitness Beauty,Sebastian Hill,Meubel Boulevard 3,AT-6344,Suppliers,Walchsee,3257603982,Belgium,info@sport-labs.de,,EUR,KmPEVZPSHi,BE0962768917,SPKUAT22XXX,,,BE
BE0867686776,Utilities Outdoor Apparel,Charlotte Campbell,Meubel Plein 28,14480,Suppliers,Potsdam,3281934567,Belgium,info@sport-labs.de,,EUR,BE-382.829.868 MWST,BE6927160798,COBADEFFXX,,,BE
BE0737903350,Infrastructure Recreation Accessories,Michael Bennett,Handels Laan 8,8902,Suppliers,Urdorf,3228056943,Belgium,info@sport-labs.de,,CHF,vgwuzswus,BE9176602086,ZKBKCHZZ80A,,,BE
BE0722977624,Transportation Arts Jewelry,Victoria Flores,Ambacht Dreef 14,Zürich,Suppliers,8001,3270965284,Belgium,info@sport-labs.de,,CHF,CHE-581.129.429,BE0962768191,BOFACH2X,,,BE
BE0447827533,Logistics Culture Watches,Leo Lewis,Nijverheids Baan 32,8004,Suppliers,Zurich,3286702491,Belgium,info@sport-labs.de,,CHF,rkwivwc,BE6927160798,RAIFCH22E87,,,BE
BE0447827533,Mobility Creative Footwear,Maya Phillips,Technologie Pad 76,8952,Suppliers,Schlieren,3241950678,Belgium,info@sport-labs.de,,CHF,CHE-990.962.881,BE9176602086,UBSWCHZH80A,,,BE
BE0447827524,Travel Publishing Leather,Jake Wright,Innovatie Boulevard 19,8050,Suppliers,Zurich,3267845093,Belgium,info@sport-labs.de,,CHF,tkzveqb,BE0962768917,CRESCHZZ80A,,,BE
Tourism Music Textile,Tourism Music Textile,Olivia Peterson,Kennis Ring 74,8005,Suppliers,Zürich,3251936847,Belgium,contact@music.ch,,CHF,BE-232.343.692,BE6927160798,UBSWCHZH80A,,,BE
CHE443545563,Hospitality Film Furniture,Samuel Butler,Onderzoek Steeg 45,8700,Suppliers,Küsnacht,3286071425,Belgium,contact@music.ch,,CHF,BE-161.372.101 MWST,BE9176602086,CRESCHZZ80A,,,BE
CHE-105934790,Leisure TV Interiors,Hannah Wood,Laboratorium Straat 58,6371,Suppliers,Stans,3248710569,Belgium,contact@music.ch,,CHF,BE-435.573.427 MWST,BE0962768191,NIKACH22,,,BE
KANTON ZURICH,Entertainment Events Construction,Joseph Stewart,Proeftuin Weg 92,8047,Suppliers,Zürich,3219584062,Belgium,contact@music.ch,,CHF,BE-400.158.414 MWST,BE6927160798,CRESCHZZ80A,,,BE
Media Experiences Engineering,Media Experiences Engineering,Chloe Adams,Research Pad 26,CH-3001,Suppliers,Postfach,3274623091,Belgium,contact@music.ch,,CHF,pnWuMNGebhTbKT,BE9176602086,CRESCHZZ80A,,,BE
BE0447327523,Communications Concierge Architectural,Owen Scott,Ontw Weg 11,8090,Suppliers,Zürich,3228053764,Belgium,contact@music.ch,,CHF,BEL-561.629.305,BE0962768917,ZKBKCHZZ80A,,,BE
CHE337962396,Advertising Lifestyle Energy,Lucy Thompson,Incubator Boulevard 33,CH-1020,Suppliers,Renens 1,3245702891,Belgium,contact@music.ch,,CHF,CHE-361.214.720,BE6927160798,ZKBKCHZZ80A,,,BE
078 798 05 01,Marketing Enterprises Utilities,Noah Young,Univ Laan 47,8005,Suppliers,Zürich,3279134582,Belgium,contact@music.ch,,CHF,BEL-662.490.983,BE9176602086,CRESCHZZ80A,,,BE
BE0447827522,Branding Wellness Infrastructure,Mia King,Hogesch Boulevard 71,8087,Suppliers,Zurich,3280691745,Belgium,contact@music.ch,,CHF,DjBVFFWkVTyh,BE0962768191,CRESCHZZ80A,,,BE
134.880.417,Consulting Logistics Transportation,Matthew Carter,Academie Pad 99,1804,Suppliers,Corsier-sur-Vevey,3256879430,Belgium,contact@music.ch,,CHF,FwsxFSANVDlPJ,BE6927160798,POFICHBEXXX,,,BE
-324676158,Advisory Depot Logistics,Lily Hall,Leraren Opl 85,CH8401,Suppliers,Wintherthur,3268059341,Belgium,contact@music.ch,,CHF,bmysd,BE9176602086,ZKBKCHZZ80A,,,BE
101654423,Management Fulfillment Mobility,Daniel Evans,Student Weg 73,8001,Suppliers,Zürich,3236019478,Belgium,contact@music.ch,,CHF,CHE-295.255.972,BE0962768917,RAIFCH22XXX,,,BE
BE0447837523,Strategy Procurement Travel,Lucy Ward,Onderwijs Laan 61,8400,Suppliers,Winterthur,3249056782,Belgium,contact@music.ch,,CHF,BE-947.389.897,BE6927160798,RAIFCH22XXX,,,BE
BE0447827533,Finance Sourcing Tourism,Sebastian Davis,Ontdekking Pad 28,3050,Suppliers,Bern,3258032764,Belgium,contact@music.ch,,CHF,BE-368.844.525 MWST,BE9176602086,RAIFCH22XXX,,,BE
BE-108.954.978,Banking Trading Hospitality,Natalie Evans,Vernieuwing Perf 66,8005,Suppliers,Zürich,3274095821,Belgium,accounting@baning.ch,,CHF,BEL-690.744.616,BE0962768191,RAIFCH22XXX,,,BE
BE-396842705,Insurance Commerce Leisure,Benjamin Clark,Creatie Vallei 4,8021,Suppliers,Zürich,3287564390,Belgium,info@homeinsugate.ch,,CHF,BEL-123.578.326,BE6927160798,RAIFCH22XXX,,,BE
BE0447827523,Legal Retail Entertainment,Ruby Butler,Kunstenaars Pleintje 82,8050,Suppliers,Zurich,3219730546,Belgium,info@homeinsugate.ch,,CHF,BE-806.625.857,BE9176602086,RAIFCH22XXX,,,BE
BE0447827523,Accounting Wholesale Media,Jack Mitchell,Cultuur Park 37,8032,Suppliers,Zürich,3264805179,Switzerland,info@homeinsugate.ch,,CHF,BE-194.154.634 MWST,BE0962768917,RAIFCH22XXX,,,BE
